"",smp_1,smp_2,smp_3,smp_4,smp_5,smp_6,smp_7,smp_8,smp_9,smp_10
Prevotella_bivia,0,0,0,0,0,0,0,0,0,0
Prevotella_buccae,0,0,0,0,0,0,0,0,0,0
Prevotella_buccalis,0,0,0,0,0,0,0,0,0,0
Prevotella_colorans,0,0,0,0,0,0,0,0,0,0
Prevotella_copri,0,0,0,0,0,0,0,0,0,0
Prevotella_denticola,0,0,0,0,0,0,0,0,0,0
Prevotella_disiens,0,0,0,0,0,0,0,0,0,0
Prevotella_histicola,0,0,0,0,0,0,0,0,0,0
Prevotella_melaninogenica,0,0,0,0,0,0,0,0,0,0
Prevotella_oralis,0,0,0,0,0,0,0,0,0,0
Prevotella_shahii,0,0,0,0,0,0,0,0,0,0
Prevotella_stercorea,0,0,0,0,0,0,0,0,0,0
Prevotella_timonensis,0,0,0,0,0,0,0,0,0,0
Prevotellaceae_bacterium,0,0,0,0,0,0,0,0,0,0
Pseudaeromonas_sharmana,0,0,0,0,0,0,0,0,0,0
Pyramidobacter_piscolens,0,0,0,0,0,0,0,0,0,0
Rikenella_microfusus,0,0,0,0,0,0,0,0,0,0
Rikenella_sp.,0,0,0,0,0,0,0,0,0,0
Robinsoniella_peoriensis,0,0,0,0,0,0,0,0,0,0
Roseburia_intestinalis,0,0.293,0,0.865,0.425,0,0.396,0,0,0
Ruminococcaceae_bacterium,0,0,0,0,0.555,0,0,0,0,0
Ruminococcus_bicirculans,0,0,0.378,0.479,0,0.395,0,0,4.13,0
Ruminococcus_champanellensis,0,0,0,0,0,0,0,0,0,0
Ruminococcus_lactaris,0,1.332,0,0.738,0,1.629,0.563,0,0,0
Ruminococcus_sp.,0,0,0,0,0,0,0,0,0,0
Sanguibacteroides_justesenii,0,0,0,0,0,0,0,0,0,0
Scapharca_broughtonii,0,0,0,0,0,0,0,0,0,0
Scardovia_wiggsiae,0,0,0,0,0,0,0,0,0,0
Sellimonas_intestinalis,0,0,0,0,0,0,0,0,0,0
Sneathia_amnii,0,0,0,0,0,0,0,0,0,0
Spirochaeta_perfilievii,0,0,0,0,0,0,0,0,0,0
Spirochaeta_psychrophila,0,0,0,0,0,0,0,0,0,0
Streptococcus_agalactiae,0,0,0,0,0,0,0,0,0,0
Streptococcus_mutans,0,0,0,0,0,0,0,0,0,0
Streptococcus_salivarius,0,0,0,0,0,0,0,0,0,0
Streptococcus_sobrinus,0,0,0,0,0,0,0,0,0,0
Strombidium_paracapitatum,0,0,0,0,0,0,0,0,0,0
Succinatimonas_hippei,0,0,0,0,0,0,0,0,0,0
Sutterella_sp.,0,0,0,0,0,0,0,2.476,0,0
Sutterella_wadsworthensis,0,0,0,0,9.625,0,0,0,0,0
Tannerella_forsythia,0,0,0,0,0,0,0,0,0,0
Tausonia_sp.,0,0,0,0,0,0,0.811,0,0,0
Veillonella_magna,0,0,0,0,0,0,0,0,0,0
Weissella_diestrammenae,0,0,0,0,0,0,0,0,0,0
[Clostridium]_aldenense,0,0,0,0,0.765,0,0,0,0,0
[Clostridium]_colinum,0,0,0,0,0,0,0,0,0,0
[Clostridium]_glycyrrhizinilyticum,0,0.915,0,0,1.335,1.256,0,0,0,0
[Clostridium]_hylemonae,0,0,0,0,0,0,0,0,0,0
[Clostridium]_leptum,0,1.091,0,0,0.995,1.823,0,0,0,0
[Clostridium]_scindens,0,0,0,0,0,4.159,0,0,0,0
[Clostridium]_spiroforme,0,5.567,0,5.794,5.419,6.279,0,0,0,0
