Sample,Species,exp_16s,cov1_cm,cov2_tp
smp_10,Desulfovibrio_piger,0,C,5
smp_10,Desulfovibrio_sp.,0,C,5
smp_10,Dielma_sp.,0,C,5
smp_10,Eggerthella_sinensis,0,C,5
smp_10,Empedobacter_brevis,0,C,5
smp_10,Eubacteriaceae_bacterium,0,C,5
smp_10,Eubacterium_limosum,0,C,5
smp_10,Eubacterium_ramulus,0,C,5
smp_10,Eubacterium_saphenum,0,C,5
smp_10,Eubacterium_sp.,0,C,5
smp_10,Extibacter_muris,0,C,5
smp_10,Ezakiella_peruensis,0,C,5
smp_10,Faecalicatena_fissicatena,0,C,5
smp_10,Faecalicoccus_pleomorphus,0,C,5
smp_10,Faecalitalea_cylindroides,0,C,5
smp_10,Filimonas_sp.,0,C,5
smp_10,Flavonifractor_plautii,0,C,5
smp_10,Fusobacterium_mortiferum,0,C,5
smp_10,Fusobacterium_necrophorum,0,C,5
smp_10,Gabonibacter_massiliensis,0,C,5
smp_10,Gluconobacter_cerinus,0,C,5
smp_10,Gordonibacter_pamelaeae,0,C,5
smp_10,Gymnodinium_aureolum,0,C,5
smp_10,Haemophilus_parahaemolyticus,0,C,5
smp_10,Haemophilus_sputorum,0,C,5
smp_10,Holdemania_filiformis,0,C,5
smp_10,Ihubacter_massiliensis,0,C,5
smp_10,Ileibacterium_valens,0,C,5
smp_10,Intestinimonas_butyriciproducens,0,C,5
smp_10,Intestinimonas_sp.,0,C,5
smp_10,Joostella_marina,0,C,5
smp_10,Lachnoclostridium_phocaeense,0,C,5
smp_10,Lachnospiraceae_bacterium,0,C,5
smp_10,Lactobacillus_delbrueckii,0,C,5
smp_10,Lactobacillus_mucosae,0,C,5
smp_10,Lactobacillus_vaginalis,0,C,5
smp_10,Leptotrichia_sp.,0,C,5
smp_10,Massiliomicrobiota_timonensis,0,C,5
smp_10,Megasphaera_micronuciformis,0,C,5
smp_10,Micromonas_commoda,0,C,5
smp_10,Mobiluncus_curtisii,0,C,5
smp_10,Monocercomonoides_sp.,0,C,5
smp_10,Mordavella_sp.,0,C,5
smp_10,Murdochiella_asaccharolytica,0,C,5
smp_10,Murdochiella_vaginalis,0,C,5
smp_10,Myrothecium_gramineum,0,C,5
smp_10,Myrothecium_sp.,0,C,5
smp_10,Negativicoccus_succinicivorans,0,C,5
smp_10,Nephroselmis_pyriformis,0,C,5
smp_10,Odoribacter_laneus,0,C,5
smp_10,Odoribacter_splanchnicus,0,C,5
smp_10,Oryza_sativa,0,C,5
smp_10,Oxalobacter_formigenes,0,C,5
smp_10,Parabacteroides_goldsteinii,0,C,5
smp_10,Parabacteroides_johnsonii,0,C,5
smp_10,Parabacteroides_merdae,0,C,5
smp_10,Paraphaeosphaeria_neglecta,0,C,5
smp_10,Paraprevotella_xylaniphila,0,C,5
smp_10,Parasutterella_excrementihominis,0,C,5
smp_10,Peptococcus_niger,0,C,5
smp_10,Peptoniphilus_coxii,0,C,5
smp_10,Peptoniphilus_lacrimalis,0,C,5
smp_10,Peptoniphilus_timonensis,0,C,5
smp_10,Peptoniphilus_urinimassiliensis,0,C,5
smp_10,Peptostreptococcus_anaerobius,0,C,5
smp_10,Phalacroma_mitra,0,C,5
smp_10,Polycyclovorans_algicola,0,C,5
smp_10,Porphyromonas_asaccharolytica,0,C,5
smp_10,Porphyromonas_bennonis,0,C,5
smp_10,Porphyromonas_gingivalis,0,C,5
smp_10,Porphyromonas_somerae,0,C,5
smp_10,Prevotella_bergensis,0,C,5
smp_10,Prevotella_bivia,0,C,5
smp_10,Prevotella_buccae,0,C,5
smp_10,Prevotella_buccalis,0,C,5
smp_10,Prevotella_colorans,0,C,5
smp_10,Prevotella_copri,0,C,5
smp_10,Prevotella_denticola,0,C,5
smp_10,Prevotella_disiens,0,C,5
smp_10,Prevotella_histicola,0,C,5
smp_10,Prevotella_melaninogenica,0,C,5
smp_10,Prevotella_oralis,0,C,5
smp_10,Prevotella_shahii,0,C,5
smp_10,Prevotella_stercorea,0,C,5
smp_10,Prevotella_timonensis,0,C,5
smp_10,Prevotellaceae_bacterium,0,C,5
smp_10,Pseudaeromonas_sharmana,0,C,5
smp_10,Pyramidobacter_piscolens,0,C,5
smp_10,Rikenella_microfusus,0,C,5
smp_10,Rikenella_sp.,0,C,5
smp_10,Robinsoniella_peoriensis,0,C,5
smp_10,Roseburia_intestinalis,0,C,5
smp_10,Ruminococcaceae_bacterium,0,C,5
smp_10,Ruminococcus_bicirculans,0,C,5
smp_10,Ruminococcus_champanellensis,0,C,5
smp_10,Ruminococcus_lactaris,0,C,5
smp_10,Ruminococcus_sp.,0,C,5
smp_10,Sanguibacteroides_justesenii,0,C,5
smp_10,Scapharca_broughtonii,0,C,5
smp_10,Scardovia_wiggsiae,0,C,5
smp_10,Sellimonas_intestinalis,0,C,5
smp_10,Sneathia_amnii,0,C,5
smp_10,Spirochaeta_perfilievii,0,C,5
smp_10,Spirochaeta_psychrophila,0,C,5
smp_10,Streptococcus_agalactiae,0,C,5
smp_10,Streptococcus_mutans,0,C,5
smp_10,Streptococcus_salivarius,0,C,5
smp_10,Streptococcus_sobrinus,0,C,5
smp_10,Strombidium_paracapitatum,0,C,5
smp_10,Succinatimonas_hippei,0,C,5
smp_10,Sutterella_sp.,0,C,5
smp_10,Sutterella_wadsworthensis,0,C,5
smp_10,Tannerella_forsythia,0,C,5
smp_10,Tausonia_sp.,0,C,5
smp_10,Veillonella_magna,0,C,5
smp_10,Weissella_diestrammenae,0,C,5
smp_10,[Clostridium]_aldenense,0,C,5
smp_10,[Clostridium]_colinum,0,C,5
smp_10,[Clostridium]_glycyrrhizinilyticum,0,C,5
smp_10,[Clostridium]_hylemonae,0,C,5
smp_10,[Clostridium]_leptum,0,C,5
smp_10,[Clostridium]_scindens,0,C,5
smp_10,[Clostridium]_spiroforme,0,C,5
smp_2,Absiella_argi,2.554,M,2
smp_2,Absiella_dolichum,0,M,2
smp_2,Acinetobacter_sp.,0,M,2
smp_2,Acinetobacter_ursingii,0,M,2
smp_2,Actinomyces_graevenitzii,0,M,2
smp_2,Actinotignum_schaalii,0,M,2
smp_2,Akkermansia_muciniphila,0,M,2
smp_2,Alistipes_finegoldii,1.763,M,2
smp_2,Alistipes_indistinctus,1.132,M,2
smp_2,Alistipes_inops,0,M,2
smp_2,Alistipes_obesi,0,M,2
smp_2,Alistipes_sp.,0,M,2
smp_2,Anaerococcus_hydrogenalis,0,M,2
smp_2,Anaerococcus_vaginalis,0,M,2
smp_2,Anaerofustis_stercorihominis,0,M,2
smp_2,Anaeroglobus_geminatus,0,M,2
smp_2,Anaerostipes_caccae,0,M,2
